timestamp,open,high,low,close,volume
1672531200000,52.0,52.0,51.7,51.8,833.9
1672534800000,51.8,51.9,51.7,51.9,774.708
1672538400000,51.9,52.1,51.8,51.9,514.403
1672542000000,51.9,51.9,51.7,51.7,745.809
1672545600000,51.7,51.8,51.1,51.2,4372.861
1672549200000,51.2,51.8,51.1,51.7,3802.247
1672552800000,51.8,51.9,51.6,51.8,308.174
1672556400000,51.9,51.9,51.5,51.6,1044.645
1672560000000,51.6,51.7,51.5,51.6,544.088
1672563600000,51.6,51.9,51.5,51.9,855.28
1672567200000,51.9,52.1,51.7,51.8,1383.659
1672570800000,51.8,52.0,51.8,51.9,660.642
1672574400000,51.9,52.2,51.9,52.1,2115.365
1672578000000,52.1,52.1,51.6,51.7,6281.639
1672581600000,51.8,51.9,51.7,51.7,132.721
1672585200000,51.8,51.9,51.4,51.7,5272.983
1672588800000,51.7,51.8,51.6,51.7,1063.61
1672592400000,51.7,52.0,51.7,51.8,963.898
1672596000000,51.8,52.1,51.8,52.0,1140.652
1672599600000,52.0,52.1,51.9,52.0,450.748
1672603200000,52.0,52.4,52.0,52.3,1396.713
1672606800000,52.4,52.4,52.1,52.2,810.573
1672610400000,52.2,52.3,51.9,52.0,904.885
1672614000000,52.0,52.2,51.9,52.2,1012.91
1672617600000,52.2,52.3,51.7,51.7,890.378
1672621200000,51.7,51.9,51.3,51.6,3385.093
1672624800000,51.5,51.9,51.5,51.8,1106.306
1672628400000,51.8,52.3,51.8,52.1,1777.58
1672632000000,52.2,52.6,52.1,52.5,3294.631
1672635600000,52.6,52.6,52.3,52.5,2938.872
1672639200000,52.5,52.6,52.1,52.2,1122.07
1672642800000,52.2,53.4,52.2,53.0,12788.945
1672646400000,53.0,53.7,53.0,53.5,5355.605
1672650000000,53.6,53.8,53.3,53.3,2583.954
1672653600000,53.3,53.6,53.2,53.4,2438.142
1672657200000,53.4,53.5,53.1,53.3,1489.334
1672660800000,53.3,54.1,53.3,53.7,24759.167
1672664400000,53.7,53.8,53.3,53.4,1751.123
1672668000000,53.3,53.5,53.2,53.4,1949.708
1672671600000,53.4,53.9,53.4,53.7,1123.535
1672675200000,53.7,53.8,53.6,53.6,1333.641
1672678800000,53.6,53.7,53.5,53.5,456.419
1672682400000,53.6,53.8,53.5,53.5,543.706
1672686000000,53.5,53.9,53.5,53.7,507.127
1672689600000,53.7,53.9,53.6,53.7,498.985
1672693200000,53.7,54.1,53.7,53.9,1353.179
1672696800000,53.9,53.9,53.2,53.2,2038.335
1672700400000,53.3,53.5,52.9,53.0,2169.727
1672704000000,52.9,53.3,52.9,53.2,766.165
1672707600000,53.1,53.2,52.6,52.9,3272.307
1672711200000,52.9,53.0,52.8,52.8,262.042
1672714800000,52.8,53.1,52.6,53.0,1295.772
1672718400000,53.0,53.1,52.8,52.9,1710.667
1672722000000,52.9,53.3,52.9,53.2,1172.721
1672725600000,53.2,53.4,53.0,53.0,2204.044
1672729200000,53.0,53.2,52.9,53.1,1149.457
1672732800000,53.1,53.2,52.7,52.9,2173.733
1672736400000,52.9,53.3,52.8,53.1,805.099
1672740000000,53.2,53.3,53.0,53.0,1568.11
1672743600000,53.0,53.1,52.8,52.8,1111.214
1672747200000,52.9,53.1,52.7,52.9,2145.458
1672750800000,53.0,53.2,52.9,53.0,1632.668
1672754400000,53.0,53.6,52.5,52.6,4713.316
1672758000000,52.6,52.8,52.2,52.6,6053.422
1672761600000,52.5,52.7,52.3,52.3,3362.098
1672765200000,52.4,52.5,52.1,52.3,1581.973
1672768800000,52.4,52.4,52.1,52.3,1432.263
1672772400000,52.3,52.6,52.3,52.5,954.933
1672776000000,52.4,52.6,52.4,52.5,1041.629
1672779600000,52.6,52.8,52.5,52.7,655.774
1672783200000,52.7,52.8,52.6,52.8,660.34
1672786800000,52.8,53.2,52.8,53.0,2284.572
1672790400000,53.1,53.1,52.6,52.7,1433.204
1672794000000,52.8,53.6,52.7,53.3,4121.333
1672797600000,53.3,55.0,53.3,54.4,30369.874
1672801200000,54.3,55.3,54.3,54.9,18644.618
1672804800000,55.0,55.4,54.8,55.3,6627.382
1672808400000,55.3,56.2,55.0,56.0,16802.956
1672812000000,56.0,56.1,55.4,55.6,4126.968
1672815600000,55.5,55.8,55.4,55.5,1557.462
1672819200000,55.6,55.8,55.1,55.3,3203.144
1672822800000,55.2,55.6,55.2,55.3,1508.934
1672826400000,55.4,56.4,55.3,56.2,4604.917
1672830000000,56.2,56.2,55.7,55.8,3421.203
1672833600000,55.8,56.1,55.8,55.8,3059.028
1672837200000,55.9,57.7,55.8,57.4,19388.094
1672840800000,57.4,58.1,56.2,57.0,32943.016
1672844400000,56.9,57.5,56.3,57.1,14686.037
1672848000000,57.1,57.6,56.8,56.9,4630.834
1672851600000,56.9,57.5,56.9,57.0,2287.448
1672855200000,57.1,57.6,56.9,57.1,2028.566
1672858800000,57.1,57.2,56.3,56.7,6498.368
1672862400000,56.7,56.8,56.1,56.4,3406.514
1672866000000,56.4,56.6,56.1,56.1,1182.527
1672869600000,56.2,56.5,56.1,56.4,998.391
1672873200000,56.4,56.9,56.4,56.9,2736.448
1672876800000,56.8,57.0,55.9,55.9,6123.087
1672880400000,56.0,56.4,55.7,56.0,5087.742
1672884000000,56.0,56.2,55.7,55.8,3102.165
1672887600000,55.8,55.9,55.6,55.7,1194.726
1672891200000,55.7,56.2,55.7,56.0,2740.718
1672894800000,56.0,56.2,55.8,55.8,2424.477
1672898400000,55.8,56.0,55.5,55.8,2295.786
1672902000000,55.8,56.2,55.6,56.0,4193.149
1672905600000,55.9,56.1,55.6,55.8,1759.099
1672909200000,55.8,55.9,55.0,55.3,8984.933
1672912800000,55.2,55.7,55.2,55.5,3139.148
1672916400000,55.5,55.7,55.3,55.6,1736.674
1672920000000,55.6,55.8,55.4,55.5,1547.575
1672923600000,55.5,55.7,55.0,55.1,4536.101
1672927200000,55.1,55.5,54.9,55.4,8178.583
1672930800000,55.4,55.8,55.2,55.5,7266.193
1672934400000,55.5,55.8,55.3,55.3,2549.702
1672938000000,55.3,55.5,55.1,55.2,1173.908
1672941600000,55.2,55.7,55.2,55.6,1287.746
