timestamp,open,high,low,close,volume
1672531200000,10.9,10.91,10.82,10.85,27386.29
1672534800000,10.84,10.86,10.82,10.85,11827.38
1672538400000,10.84,10.88,10.82,10.84,8008.45
1672542000000,10.84,10.84,10.8,10.82,17152.24
1672545600000,10.82,10.82,10.7,10.73,94178.64
1672549200000,10.73,10.75,10.69,10.74,70658.99
1672552800000,10.74,10.77,10.73,10.74,11279.94
1672556400000,10.74,10.75,10.68,10.71,31290.51
1672560000000,10.71,10.71,10.66,10.67,23165.44
1672563600000,10.67,10.71,10.64,10.7,32865.92
1672567200000,10.71,10.71,10.67,10.69,15348.78
1672570800000,10.69,10.76,10.68,10.76,26023.1
1672574400000,10.76,10.78,10.73,10.78,13896.46
1672578000000,10.77,10.78,10.72,10.73,11980.27
1672581600000,10.73,10.77,10.72,10.75,20664.21
1672585200000,10.75,10.77,10.72,10.77,17977.57
1672588800000,10.76,10.77,10.74,10.77,13854.89
1672592400000,10.76,10.85,10.76,10.83,29451.96
1672596000000,10.84,10.88,10.83,10.86,28751.58
1672599600000,10.86,10.91,10.86,10.89,22179.62
1672603200000,10.89,10.94,10.87,10.88,39602.2
1672606800000,10.88,10.9,10.85,10.87,17668.56
1672610400000,10.87,10.91,10.84,10.9,89431.02
1672614000000,10.9,10.94,10.84,10.87,181177.04
1672617600000,10.87,10.89,10.8,10.81,16342.23
1672621200000,10.81,10.82,10.7,10.74,58145.08
1672624800000,10.74,10.79,10.73,10.77,10144.54
1672628400000,10.78,10.92,10.76,10.84,57805.44
1672632000000,10.85,10.96,10.83,10.86,59151.51
1672635600000,10.87,10.87,10.83,10.86,24467.73
1672639200000,10.87,10.9,10.86,10.88,12171.53
1672642800000,10.88,11.27,10.87,11.12,261311.54
1672646400000,11.12,11.2,11.11,11.14,60181.66
1672650000000,11.15,11.19,11.12,11.13,27751.61
1672653600000,11.14,11.19,11.09,11.16,38883.51
1672657200000,11.16,11.17,11.1,11.14,52805.37
1672660800000,11.15,11.22,11.15,11.16,37381.9
1672664400000,11.16,11.17,11.11,11.13,25614.89
1672668000000,11.14,11.17,11.11,11.15,15829.38
1672671600000,11.16,11.21,11.14,11.18,30494.82
1672675200000,11.18,11.21,11.16,11.16,28687.25
1672678800000,11.16,11.18,11.13,11.15,25702.14
1672682400000,11.14,11.21,11.14,11.17,14032.51
1672686000000,11.18,11.2,11.16,11.19,14094.85
1672689600000,11.19,11.2,11.15,11.19,14314.04
1672693200000,11.18,11.27,11.18,11.23,26077.66
1672696800000,11.23,11.23,11.08,11.13,51164.13
1672700400000,11.13,11.19,11.09,11.16,27063.64
1672704000000,11.16,11.2,11.11,11.17,29763.15
1672707600000,11.17,11.18,11.07,11.09,27400.96
1672711200000,11.08,11.19,11.07,11.1,67873.92
1672714800000,11.11,11.15,11.06,11.14,42270.65
1672718400000,11.14,11.2,11.14,11.19,21365.96
1672722000000,11.19,11.35,11.19,11.32,69670.1
1672725600000,11.33,11.36,11.25,11.26,42557.13
1672729200000,11.26,11.3,11.25,11.27,31049.4
1672732800000,11.28,11.3,11.17,11.22,33907.35
1672736400000,11.21,11.31,11.21,11.28,32493.83
1672740000000,11.29,11.35,11.27,11.33,77343.25
1672743600000,11.32,11.37,11.28,11.28,48529.29
1672747200000,11.29,11.41,11.25,11.31,58053.03
1672750800000,11.31,11.39,11.3,11.36,39203.79
1672754400000,11.35,11.44,11.24,11.27,104969.42
1672758000000,11.27,11.42,11.27,11.41,78698.2
1672761600000,11.41,11.56,11.33,11.35,150018.73
1672765200000,11.35,11.44,11.34,11.38,46638.44
1672768800000,11.37,11.39,11.29,11.32,42037.47
1672772400000,11.32,11.33,11.26,11.3,30235.54
1672776000000,11.31,11.37,11.3,11.33,28889.94
1672779600000,11.33,11.37,11.32,11.35,17863.74
1672783200000,11.35,11.37,11.29,11.35,17158.26
1672786800000,11.36,11.4,11.33,11.38,11430.44
1672790400000,11.38,11.42,11.34,11.4,28171.9
1672794000000,11.39,11.58,11.38,11.52,71345.98
1672797600000,11.52,11.73,11.51,11.69,53869.55
1672801200000,11.69,11.87,11.69,11.82,140518.54
1672804800000,11.83,11.86,11.73,11.74,37529.18
1672808400000,11.74,11.82,11.73,11.81,50459.01
1672812000000,11.81,11.93,11.78,11.9,65018.24
1672815600000,11.9,12.0,11.81,11.91,143024.87
1672819200000,11.9,11.99,11.8,11.86,94397.94
1672822800000,11.86,11.9,11.81,11.83,29507.57
1672826400000,11.83,11.86,11.81,11.85,22198.31
1672830000000,11.84,11.85,11.69,11.77,93504.25
1672833600000,11.78,11.88,11.77,11.79,93231.88
1672837200000,11.79,11.88,11.78,11.87,35449.15
1672840800000,11.87,11.95,11.83,11.88,89026.75
1672844400000,11.88,12.15,11.77,12.12,208719.93
1672848000000,12.12,12.16,11.98,11.98,95197.68
1672851600000,11.99,12.14,11.95,12.06,69827.64
1672855200000,12.07,12.3,12.04,12.17,117324.83
1672858800000,12.17,12.21,11.98,12.13,121522.74
1672862400000,12.13,12.14,11.93,12.01,58504.89
1672866000000,12.01,12.08,11.96,11.97,62669.03
1672869600000,11.98,12.06,11.96,11.99,70203.81
1672873200000,12.0,12.1,12.0,12.08,37856.95
1672876800000,12.09,12.15,11.99,12.01,51270.83
1672880400000,12.01,12.11,11.96,12.06,34456.73
1672884000000,12.05,12.09,12.0,12.07,25887.69
1672887600000,12.06,12.13,12.04,12.1,49028.52
1672891200000,12.1,12.17,12.08,12.1,75741.01
1672894800000,12.09,12.15,12.05,12.08,37679.32
1672898400000,12.09,12.12,11.99,12.03,49214.1
1672902000000,12.03,12.05,11.95,11.99,35131.76
1672905600000,11.99,12.02,11.89,11.93,63780.0
1672909200000,11.92,11.94,11.85,11.9,71682.29
1672912800000,11.9,11.95,11.86,11.91,98317.62
1672916400000,11.91,11.93,11.79,11.89,97824.94
1672920000000,11.9,11.92,11.84,11.87,40449.69
1672923600000,11.87,11.88,11.76,11.77,58605.82
1672927200000,11.77,11.84,11.74,11.81,63510.91
1672930800000,11.81,11.89,11.76,11.77,66290.21
1672934400000,11.77,11.82,11.72,11.76,49874.06
1672938000000,11.77,11.77,11.71,11.72,19445.41
1672941600000,11.73,11.79,11.72,11.78,26990.97
1672945200000,11.79,11.86,11.76,11.84,37904.56
1672948800000,11.84,11.86,11.79,11.83,31989.54
1672952400000,11.83,11.85,11.78,11.8,27637.56
1672956000000,11.79,11.83,11.75,11.76,12638.67
1672959600000,11.77,11.8,11.67,11.74,69218.55
1672963200000,11.74,11.82,11.69,11.8,48202.63
1672966800000,11.8,11.81,11.74,11.75,23031.42
1672970400000,11.75,11.76,11.68,11.73,31063.87
1672974000000,11.74,11.74,11.68,11.68,15655.85
1672977600000,11.68,11.71,11.57,11.63,43882.82
1672981200000,11.63,11.64,11.56,11.6,38593.92
1672984800000,11.61,11.62,11.5,11.51,41401.92
1672988400000,11.51,11.55,11.48,11.53,27897.91
1672992000000,11.53,11.59,11.53,11.56,26233.52
1672995600000,11.56,11.56,11.45,11.52,31657.33
1672999200000,11.52,11.53,11.43,11.45,18231.16
1673002800000,11.45,11.47,11.38,11.45,53204.69
1673006400000,11.45,11.46,11.4,11.42,27789.48
1673010000000,11.42,11.59,11.36,11.5,195019.94
1673013600000,11.49,11.51,11.42,11.47,68567.26
1673017200000,11.48,11.61,11.47,11.6,83351.65
1673020800000,11.61,11.63,11.53,11.6,73468.31
1673024400000,11.6,11.64,11.55,11.58,32613.89
1673028000000,11.58,11.69,11.58,11.64,71256.18
1673031600000,11.65,11.76,11.61,11.75,78285.26
1673035200000,11.76,11.78,11.64,11.65,70572.89
1673038800000,11.66,11.73,11.65,11.68,33391.25
1673042400000,11.69,11.78,11.68,11.77,30353.61
1673046000000,11.77,11.82,11.74,11.78,52939.27
1673049600000,11.79,11.86,11.74,11.83,48100.09
1673053200000,11.83,11.87,11.8,11.81,53539.52
1673056800000,11.82,11.85,11.81,11.81,14845.87
1673060400000,11.81,11.84,11.79,11.81,10476.95
1673064000000,11.81,11.82,11.77,11.77,14406.45
1673067600000,11.77,11.8,11.76,11.77,11747.41
1673071200000,11.77,11.83,11.74,11.82,22492.29
1673074800000,11.82,11.85,11.81,11.82,22342.98
1673078400000,11.83,11.84,11.74,11.76,27847.94
1673082000000,11.75,11.79,11.73,11.77,30339.22
1673085600000,11.77,11.78,11.73,11.74,12998.77
1673089200000,11.74,11.74,11.7,11.72,24475.21
1673092800000,11.71,11.72,11.69,11.71,16593.54
1673096400000,11.72,11.75,11.7,11.71,15741.06
1673100000000,11.71,11.73,11.69,11.71,16788.5
1673103600000,11.71,11.74,11.7,11.72,11208.03
1673107200000,11.72,11.73,11.66,11.66,20869.99
1673110800000,11.66,11.68,11.65,11.66,14629.32
1673114400000,11.65,11.76,11.65,11.75,30417.67
1673118000000,11.74,11.77,11.73,11.77,13834.05
1673121600000,11.77,11.78,11.73,11.75,23859.92
1673125200000,11.75,11.76,11.72,11.73,17812.44
1673128800000,11.72,11.73,11.68,11.7,13967.81
1673132400000,11.7,11.75,11.67,11.75,19624.91
1673136000000,11.75,11.77,11.58,11.65,73605.5
1673139600000,11.65,11.67,11.59,11.65,32303.72
1673143200000,11.64,11.66,11.59,11.62,22025.95
1673146800000,11.62,11.68,11.61,11.67,18963.4
1673150400000,11.67,11.69,11.66,11.67,14256.16
1673154000000,11.67,11.71,11.66,11.71,30771.13
1673157600000,11.71,11.74,11.69,11.72,13531.21
1673161200000,11.72,11.74,11.7,11.73,14013.5
1673164800000,11.72,11.82,11.72,11.8,46274.92
1673168400000,11.8,11.87,11.78,11.81,48441.37
1673172000000,11.82,11.84,11.79,11.83,16498.82
1673175600000,11.83,11.86,11.8,11.8,19769.32
1673179200000,11.8,11.85,11.78,11.84,21401.63
1673182800000,11.84,11.87,11.82,11.84,21692.28
1673186400000,11.83,11.93,11.83,11.93,49578.63
1673190000000,11.93,11.98,11.87,11.94,65320.62
1673193600000,11.94,11.97,11.79,11.85,59558.27
1673197200000,11.85,11.89,11.81,11.82,32387.45
1673200800000,11.83,11.85,11.81,11.83,22152.54
1673204400000,11.83,11.9,11.81,11.87,29092.41
1673208000000,11.88,11.98,11.87,11.95,88791.46
1673211600000,11.95,12.0,11.93,11.94,46256.76
1673215200000,11.94,12.02,11.92,11.99,29551.44
1673218800000,12.0,12.16,11.99,12.09,165578.25
1673222400000,12.09,12.4,12.08,12.37,205772.01
1673226000000,12.37,12.44,12.26,12.39,181365.93
1673229600000,12.4,12.62,12.31,12.4,213379.42
1673233200000,12.41,12.59,12.36,12.51,117485.32
1673236800000,12.52,12.54,12.43,12.45,68188.03
1673240400000,12.46,12.57,12.43,12.44,85284.69
1673244000000,12.47,12.54,12.41,12.42,58162.0
1673247600000,12.42,12.53,12.41,12.45,52382.35
1673251200000,12.44,12.5,12.28,12.31,142923.12
