timestamp,open,high,low,close,volume
1672531200000,3.009,3.014,2.992,2.995,67916.0
1672534800000,2.995,3.034,2.994,3.026,105130.55
1672538400000,3.026,3.038,3.018,3.019,66579.35
1672542000000,3.019,3.025,3.011,3.018,65488.43
1672545600000,3.017,3.02,3.011,3.017,46756.23
1672549200000,3.017,3.052,3.016,3.046,147555.63
1672552800000,3.046,3.109,3.041,3.075,466323.24
1672556400000,3.075,3.088,3.054,3.081,144445.58
1672560000000,3.081,3.09,3.063,3.066,241235.62
1672563600000,3.067,3.073,3.056,3.066,75200.45
1672567200000,3.066,3.073,3.054,3.059,52901.7
1672570800000,3.059,3.078,3.059,3.076,75529.44
1672574400000,3.076,3.077,3.062,3.075,85073.47
1672578000000,3.073,3.081,3.065,3.068,71621.07
1672581600000,3.069,3.097,3.069,3.097,144801.53
1672585200000,3.096,3.105,3.081,3.097,83192.15
1672588800000,3.097,3.114,3.084,3.09,121659.41
1672592400000,3.09,3.102,3.089,3.1,65363.62
1672596000000,3.101,3.117,3.096,3.1,101979.83
1672599600000,3.101,3.146,3.101,3.131,164912.74
1672603200000,3.132,3.15,3.124,3.125,81757.11
1672606800000,3.127,3.133,3.115,3.126,67150.12
1672610400000,3.127,3.137,3.115,3.123,52665.16
1672614000000,3.124,3.135,3.104,3.108,105278.52
1672617600000,3.109,3.12,3.072,3.077,163905.71
1672621200000,3.077,3.078,3.046,3.064,159453.79
1672624800000,3.064,3.078,3.033,3.061,446437.93
1672628400000,3.061,3.088,3.06,3.079,137908.23
1672632000000,3.079,3.083,3.065,3.077,64152.33
1672635600000,3.078,3.096,3.078,3.085,65528.47
1672639200000,3.088,3.101,3.078,3.083,108090.89
1672642800000,3.083,3.149,3.079,3.125,504673.05
1672646400000,3.124,3.193,3.124,3.166,401694.53
1672650000000,3.167,3.183,3.157,3.161,138036.81
1672653600000,3.162,3.177,3.145,3.166,150509.48
1672657200000,3.166,3.171,3.148,3.165,107271.31
1672660800000,3.165,3.221,3.161,3.193,768346.62
1672664400000,3.193,3.203,3.152,3.162,195299.35
1672668000000,3.161,3.172,3.152,3.158,203791.79
1672671600000,3.159,3.172,3.141,3.166,309027.79
1672675200000,3.166,3.169,3.143,3.143,88517.56
1672678800000,3.144,3.153,3.138,3.149,70416.98
1672682400000,3.149,3.162,3.148,3.156,56521.73
1672686000000,3.157,3.169,3.154,3.163,56662.31
1672689600000,3.163,3.167,3.155,3.166,36446.35
1672693200000,3.166,3.181,3.165,3.171,61324.4
1672696800000,3.172,3.173,3.142,3.146,49565.3
1672700400000,3.146,3.162,3.141,3.151,66146.95
1672704000000,3.152,3.167,3.143,3.158,92521.34
1672707600000,3.157,3.16,3.108,3.146,242663.91
1672711200000,3.146,3.191,3.142,3.16,292419.9
1672714800000,3.16,3.163,3.148,3.155,161650.3
1672718400000,3.155,3.159,3.131,3.133,157962.47
1672722000000,3.132,3.17,3.132,3.162,128021.69
1672725600000,3.164,3.196,3.159,3.165,298825.14
1672729200000,3.166,3.169,3.155,3.166,85482.98
1672732800000,3.167,3.171,3.12,3.146,180487.16
1672736400000,3.146,3.17,3.144,3.166,71696.97
1672740000000,3.167,3.187,3.158,3.175,141193.37
1672743600000,3.175,3.184,3.165,3.17,82826.0
1672747200000,3.171,3.177,3.144,3.154,176584.08
1672750800000,3.154,3.159,3.134,3.149,127333.75
1672754400000,3.148,3.176,3.113,3.126,228317.12
1672758000000,3.125,3.143,3.112,3.137,165226.89
1672761600000,3.138,3.146,3.072,3.076,330648.88
1672765200000,3.076,3.095,3.062,3.075,275300.67
1672768800000,3.075,3.077,3.037,3.047,279861.35
1672772400000,3.048,3.051,3.027,3.044,209880.7
1672776000000,3.044,3.058,3.04,3.051,132911.98
1672779600000,3.051,3.072,3.048,3.072,155018.97
1672783200000,3.072,3.082,3.06,3.073,110115.69
1672786800000,3.073,3.1,3.069,3.091,144093.62
1672790400000,3.092,3.109,3.087,3.102,173804.93
1672794000000,3.101,3.15,3.101,3.14,207487.23
1672797600000,3.14,3.186,3.136,3.181,266480.53
1672801200000,3.182,3.25,3.175,3.221,782610.87
1672804800000,3.221,3.427,3.214,3.345,2618634.06
1672808400000,3.345,3.349,3.3,3.316,591660.2
1672812000000,3.317,3.317,3.269,3.305,365565.42
1672815600000,3.306,3.307,3.273,3.3,143330.19
1672819200000,3.301,3.308,3.253,3.268,383609.2
1672822800000,3.268,3.281,3.255,3.258,155125.16
1672826400000,3.257,3.279,3.252,3.271,115370.93
1672830000000,3.271,3.274,3.247,3.252,120204.13
1672833600000,3.252,3.27,3.238,3.241,159437.68
1672837200000,3.242,3.282,3.242,3.281,147616.23
1672840800000,3.281,3.298,3.263,3.269,483051.03
1672844400000,3.269,3.286,3.236,3.283,230642.83
1672848000000,3.284,3.312,3.261,3.282,307127.92
1672851600000,3.282,3.313,3.272,3.285,216290.13
1672855200000,3.285,3.528,3.277,3.401,1377573.31
1672858800000,3.401,3.401,3.325,3.353,449606.38
1672862400000,3.354,3.356,3.294,3.299,264630.06
1672866000000,3.299,3.345,3.288,3.334,201673.71
1672869600000,3.334,3.354,3.324,3.343,121037.33
1672873200000,3.344,3.37,3.344,3.357,147744.23
1672876800000,3.356,3.362,3.297,3.298,254556.85
1672880400000,3.298,3.339,3.29,3.317,146936.31
1672884000000,3.317,3.345,3.308,3.331,141086.23
1672887600000,3.33,3.336,3.303,3.312,130042.2
1672891200000,3.312,3.33,3.308,3.317,305470.1
1672894800000,3.317,3.341,3.315,3.336,148341.76
1672898400000,3.337,3.34,3.294,3.312,303614.36
1672902000000,3.312,3.316,3.276,3.302,178096.04
1672905600000,3.302,3.309,3.264,3.283,148697.59
1672909200000,3.282,3.284,3.24,3.257,227344.79
1672912800000,3.259,3.283,3.257,3.274,118373.8
1672916400000,3.274,3.287,3.258,3.283,108353.5
1672920000000,3.284,3.289,3.267,3.274,74721.45
1672923600000,3.274,3.282,3.225,3.234,276962.5
1672927200000,3.233,3.267,3.229,3.262,143288.5
1672930800000,3.261,3.285,3.261,3.268,145270.62
1672934400000,3.268,3.288,3.26,3.261,163782.19
1672938000000,3.261,3.267,3.249,3.258,100374.37
1672941600000,3.259,3.308,3.259,3.303,153189.49
1672945200000,3.304,3.327,3.298,3.319,125913.41
1672948800000,3.318,3.331,3.313,3.319,145125.16
1672952400000,3.321,3.321,3.297,3.301,92486.85
1672956000000,3.302,3.321,3.295,3.304,57111.26
1672959600000,3.305,3.311,3.268,3.287,299445.98
1672963200000,3.287,3.329,3.27,3.327,242228.38
1672966800000,3.327,3.338,3.306,3.308,142036.19
1672970400000,3.307,3.315,3.284,3.315,209513.66
1672974000000,3.315,3.325,3.299,3.31,165287.83
1672977600000,3.31,3.325,3.298,3.314,220664.4
1672981200000,3.315,3.315,3.298,3.305,177414.76
1672984800000,3.305,3.316,3.261,3.273,257455.79
1672988400000,3.273,3.276,3.261,3.273,133983.99
1672992000000,3.274,3.278,3.262,3.27,75429.36
1672995600000,3.269,3.277,3.244,3.27,99573.98
1672999200000,3.27,3.287,3.257,3.265,111667.17
1673002800000,3.264,3.268,3.23,3.238,287938.31
1673006400000,3.238,3.252,3.214,3.241,267199.84
1673010000000,3.242,3.278,3.203,3.252,410050.61
1673013600000,3.253,3.257,3.234,3.242,118970.02
1673017200000,3.243,3.287,3.24,3.284,161050.08
1673020800000,3.285,3.304,3.269,3.286,130870.51
1673024400000,3.286,3.294,3.275,3.28,71605.88
1673028000000,3.281,3.356,3.281,3.323,578956.46
1673031600000,3.323,3.347,3.302,3.343,156852.05
1673035200000,3.343,3.354,3.314,3.318,93721.37
1673038800000,3.319,3.33,3.319,3.322,33582.79
1673042400000,3.323,3.354,3.323,3.35,86949.87
1673046000000,3.35,3.352,3.335,3.339,102966.02
1673049600000,3.34,3.369,3.326,3.366,134252.04
1673053200000,3.365,3.37,3.337,3.347,96782.85
1673056800000,3.348,3.358,3.348,3.355,52611.94
1673060400000,3.355,3.362,3.344,3.349,91232.68
1673064000000,3.349,3.351,3.34,3.34,69365.16
1673067600000,3.34,3.348,3.337,3.347,49929.03
1673071200000,3.346,3.35,3.334,3.348,66939.51
1673074800000,3.348,3.4,3.338,3.368,229779.8
1673078400000,3.37,3.37,3.346,3.347,136495.74
1673082000000,3.347,3.35,3.34,3.348,38994.9
1673085600000,3.348,3.348,3.334,3.338,102180.54
1673089200000,3.337,3.337,3.323,3.326,113421.52
1673092800000,3.325,3.354,3.319,3.33,176225.9
1673096400000,3.329,3.35,3.325,3.326,99994.46
1673100000000,3.325,3.339,3.316,3.337,129941.78
1673103600000,3.336,3.341,3.321,3.328,102789.81
1673107200000,3.328,3.328,3.295,3.306,143837.09
1673110800000,3.307,3.322,3.303,3.313,51521.92
1673114400000,3.312,3.335,3.311,3.331,62993.39
1673118000000,3.331,3.397,3.325,3.331,997868.83
1673121600000,3.331,3.339,3.313,3.324,96633.61
1673125200000,3.325,3.327,3.287,3.291,174866.42
1673128800000,3.291,3.296,3.277,3.284,89123.57
1673132400000,3.283,3.307,3.281,3.299,112852.56
1673136000000,3.3,3.327,3.272,3.307,287766.16
1673139600000,3.306,3.386,3.304,3.375,411200.79
1673143200000,3.375,3.376,3.327,3.336,197503.77
1673146800000,3.337,3.366,3.33,3.361,101126.3
1673150400000,3.361,3.376,3.347,3.368,117501.33
1673154000000,3.37,3.454,3.369,3.418,377862.18
1673157600000,3.417,3.419,3.376,3.387,264022.97
1673161200000,3.387,3.404,3.38,3.393,95804.53
1673164800000,3.393,3.397,3.368,3.384,417750.38
1673168400000,3.384,3.407,3.363,3.373,178077.64
1673172000000,3.373,3.381,3.37,3.373,73862.05
1673175600000,3.374,3.374,3.347,3.349,131181.6
1673179200000,3.349,3.368,3.348,3.36,76972.66
1673182800000,3.359,3.373,3.351,3.357,116299.35
1673186400000,3.358,3.391,3.352,3.381,295068.56
1673190000000,3.384,3.397,3.365,3.39,242894.37
1673193600000,3.392,3.398,3.367,3.373,269287.9
1673197200000,3.373,3.381,3.349,3.357,179144.01
1673200800000,3.356,3.365,3.339,3.356,141400.23
1673204400000,3.356,3.372,3.35,3.368,114297.81
1673208000000,3.368,3.42,3.366,3.398,516994.31
1673211600000,3.4,3.405,3.376,3.384,144103.36
1673215200000,3.384,3.4,3.38,3.392,90651.92
1673218800000,3.393,3.464,3.393,3.447,428523.08
1673222400000,3.446,3.488,3.432,3.485,629960.64
1673226000000,3.485,3.61,3.478,3.568,1482091.86
1673229600000,3.569,3.597,3.538,3.54,523625.15
1673233200000,3.539,3.564,3.527,3.548,302607.84
1673236800000,3.55,3.579,3.539,3.556,382587.99
1673240400000,3.555,3.61,3.539,3.539,359421.73
1673244000000,3.54,3.566,3.533,3.547,188660.91
1673247600000,3.548,3.586,3.539,3.58,182852.3
1673251200000,3.58,3.593,3.55,3.562,241005.53
1673254800000,3.56,3.67,3.554,3.608,522315.72
1673258400000,3.607,3.812,3.605,3.736,1131102.6
1673262000000,3.736,3.898,3.7,3.777,1309109.73
1673265600000,3.777,3.837,3.756,3.816,342815.09
1673269200000,3.817,3.892,3.75,3.784,764802.45
1673272800000,3.785,3.936,3.735,3.887,942503.97
1673276400000,3.887,3.911,3.824,3.849,386623.56
1673280000000,3.849,3.918,3.804,3.858,429122.73
1673283600000,3.859,3.868,3.785,3.826,366179.71
1673287200000,3.827,3.858,3.78,3.823,297406.51
1673290800000,3.825,3.889,3.796,3.858,194891.0
1673294400000,3.857,3.882,3.751,3.778,383382.94
1673298000000,3.778,3.874,3.77,3.835,263659.06
1673301600000,3.837,3.95,3.808,3.818,479165.61
1673305200000,3.82,3.824,3.76,3.774,366759.23
1673308800000,3.774,3.844,3.762,3.84,223410.6
1673312400000,3.84,3.862,3.809,3.824,316312.74
1673316000000,3.824,3.841,3.652,3.708,634233.01
1673319600000,3.71,3.729,3.691,3.724,425780.99
1673323200000,3.725,3.744,3.703,3.744,423087.73
1673326800000,3.743,3.751,3.711,3.744,236923.49
1673330400000,3.744,3.764,3.703,3.731,353983.63
1673334000000,3.732,3.741,3.694,3.704,293878.76
1673337600000,3.703,3.752,3.697,3.744,429574.93
1673341200000,3.742,3.765,3.728,3.746,336729.91
1673344800000,3.746,3.774,3.728,3.752,248068.4
1673348400000,3.753,3.767,3.716,3.724,239727.01
1673352000000,3.724,3.75,3.686,3.695,362928.46
1673355600000,3.695,3.726,3.681,3.719,274319.89
1673359200000,3.72,3.76,3.706,3.752,402058.51
1673362800000,3.753,3.776,3.74,3.771,299149.34
1673366400000,3.771,3.772,3.715,3.734,204361.84
1673370000000,3.735,3.745,3.716,3.738,126950.54
1673373600000,3.737,3.791,3.733,3.789,175094.82
1673377200000,3.789,3.794,3.768,3.79,163304.01
1673380800000,3.791,3.796,3.76,3.781,282694.95
1673384400000,3.781,3.783,3.755,3.761,154430.07
1673388000000,3.761,3.763,3.737,3.748,66228.27
1673391600000,3.748,3.77,3.741,3.757,183390.69
1673395200000,3.758,3.777,3.735,3.772,343986.97
1673398800000,3.772,3.782,3.735,3.76,310400.37
1673402400000,3.762,3.763,3.683,3.689,495279.54
1673406000000,3.689,3.721,3.664,3.692,368521.46
1673409600000,3.692,3.723,3.68,3.693,389217.96
1673413200000,3.692,3.717,3.687,3.695,272786.83
1673416800000,3.694,3.716,3.687,3.702,257128.85
1673420400000,3.701,3.717,3.688,3.707,160339.14
1673424000000,3.708,3.708,3.671,3.69,200499.0
1673427600000,3.69,3.702,3.683,3.696,191164.07
1673431200000,3.696,3.707,3.69,3.702,167906.33
1673434800000,3.702,3.702,3.657,3.685,372975.82
1673438400000,3.685,3.685,3.66,3.67,222112.71
1673442000000,3.669,3.682,3.615,3.642,488971.99
1673445600000,3.642,3.644,3.607,3.628,405381.51
1673449200000,3.628,3.64,3.552,3.565,663925.0
1673452800000,3.565,3.577,3.534,3.544,356685.29
1673456400000,3.545,3.579,3.543,3.559,194033.44
1673460000000,3.559,3.597,3.559,3.583,425926.91
1673463600000,3.582,3.624,3.571,3.621,375929.34
1673467200000,3.623,3.628,3.596,3.613,250596.57
1673470800000,3.613,3.631,3.6,3.628,244186.7
1673474400000,3.629,3.67,3.603,3.661,171627.8
1673478000000,3.661,3.737,3.659,3.732,604113.14
1673481600000,3.733,3.79,3.697,3.789,607201.58
1673485200000,3.79,3.79,3.734,3.764,305787.59
1673488800000,3.764,3.794,3.746,3.749,357779.29
1673492400000,3.748,3.806,3.746,3.792,361624.06
1673496000000,3.792,3.804,3.774,3.79,276723.35
1673499600000,3.79,3.806,3.751,3.752,358070.06
1673503200000,3.752,3.784,3.752,3.769,303110.67
1673506800000,3.769,3.779,3.753,3.767,302275.21
1673510400000,3.766,3.768,3.717,3.745,359072.88
1673514000000,3.745,3.748,3.73,3.737,210774.65
1673517600000,3.737,3.738,3.705,3.724,271823.27
1673521200000,3.724,3.738,3.711,3.733,173676.83
1673524800000,3.733,3.746,3.717,3.738,196099.74
1673528400000,3.738,3.781,3.6,3.767,1067213.63
1673532000000,3.766,3.793,3.651,3.687,683063.16
1673535600000,3.686,3.72,3.679,3.699,341830.33
1673539200000,3.698,3.852,3.69,3.801,610276.66
1673542800000,3.8,3.836,3.66,3.819,853377.94
1673546400000,3.818,3.833,3.784,3.814,526263.57
1673550000000,3.814,3.876,3.805,3.839,517821.65
1673553600000,3.84,3.87,3.826,3.867,272873.56
1673557200000,3.868,3.875,3.821,3.843,376663.6
1673560800000,3.843,3.848,3.82,3.839,125907.32
1673564400000,3.839,3.859,3.83,3.852,276805.96
